user,x,y,dem,soc,dam,group,connections,x_mean,x_std,y_mean,y_std
24,60.53724448429445,5.306352622905844,94.01289007235307,71.11111111111111,32.92179855360015,1,"[(24, 43), (24, 86), (24, 58), (24, 87), (24, 88), (24, 60), (24, 89), (24, 49), (24, 117), (24, 30), (24, 95), (24, 118), (24, 91), (24, 110), (24, 112), (24, 92), (24, 114), (24, 120), (24, 40), (24, 37), (24, 65), (24, 94), (24, 122), (24, 39), (24, 11), (24, 80), (24, 106), (24, 96), (24, 97), (24, 36), (24, 42), (24, 70), (24, 50), (24, 100), (24, 72), (24, 101), (24, 82), (24, 73), (24, 46), (24, 93), (24, 47), (24, 75), (24, 116), (24, 76), (24, 98), (24, 105), (24, 77), (24, 84), (24, 78), (24, 33), (24, 23), (24, 38), (24, 81), (24, 61), (24, 54), (24, 26), (24, 111), (24, 27), (24, 66), (24, 56), (24, 28), (24, 57), (24, 85), (24, 34)]",60.334573428300175,0.683862005607962,8.55933876047108,3.42078828382365
25,59.636751852425725,8.494532922373931,91.11159376544175,94.44444444444444,34.065642387399826,1,"[(25, 72), (25, 30), (25, 58), (25, 94), (25, 31), (25, 59), (25, 88), (25, 44), (25, 116), (25, 110), (25, 89), (25, 105), (25, 117), (25, 86), (25, 90), (25, 118), (25, 35), (25, 119), (25, 112), (25, 36), (25, 120), (25, 37), (25, 63), (25, 65), (25, 45), (25, 82), (25, 122), (25, 39), (25, 67), (25, 106), (25, 40), (25, 99), (25, 68), (25, 111), (25, 97), (25, 92), (25, 69), (25, 115), (25, 42), (25, 33), (25, 70), (25, 91), (25, 43), (25, 71), (25, 64), (25, 100), (25, 102), (25, 83), (25, 101), (25, 107), (25, 73), (25, 46), (25, 93), (25, 47), (25, 75), (25, 104), (25, 66), (25, 76), (25, 98), (25, 49), (25, 121), (25, 50), (25, 95), (25, 78), (25, 51), (25, 79), (25, 52), (25, 108), (25, 23), (25, 57), (25, 53), (25, 38), (25, 81), (25, 54), (25, 26), (25, 55), (25, 27), (25, 85), (25, 234), (25, 56), (25, 84), (25, 113), (25, 109), (25, 29), (25, 34)]",60.334573428300175,0.683862005607962,8.55933876047108,3.42078828382365
26,59.96490652317563,7.862569306972082,82.684850728498,92.22222222222223,33.91373791507385,1,"[(26, 25), (26, 86), (26, 24), (26, 114), (26, 31), (26, 97), (26, 59), (26, 88), (26, 100), (26, 74), (26, 11), (26, 89), (26, 49), (26, 61), (26, 30), (26, 90), (26, 118), (26, 91), (26, 63), (26, 92), (26, 58), (26, 120), (26, 108), (26, 93), (26, 119), (26, 65), (26, 45), (26, 94), (26, 122), (26, 87), (26, 67), (26, 106), (26, 40), (26, 68), (26, 41), (26, 36), (26, 69), (26, 115), (26, 42), (26, 70), (26, 43), (26, 27), (26, 71), (26, 110), (26, 44), (26, 72), (26, 101), (26, 73), (26, 102), (26, 37), (26, 54), (26, 47), (26, 75), (26, 116), (26, 104), (26, 84), (26, 76), (26, 98), (26, 105), (26, 121), (26, 77), (26, 35), (26, 50), (26, 78), (26, 51), (26, 39), (26, 52), (26, 80), (26, 53), (26, 38), (26, 81), (26, 117), (26, 99), (26, 82), (26, 111), (26, 83), (26, 85), (26, 66), (26, 28), (26, 113), (26, 109), (26, 29), (26, 34)]",60.334573428300175,0.683862005607962,8.55933876047108,3.42078828382365
27,59.747004837713156,10.916940439195862,22.107182679472867,81.11111111111111,35.33197263845451,1,"[(27, 43), (27, 86), (27, 58), (27, 31), (27, 81), (27, 88), (27, 44), (27, 116), (27, 33), (27, 105), (27, 117), (27, 59), (27, 34), (27, 62), (27, 91), (27, 119), (27, 92), (27, 114), (27, 64), (27, 40), (27, 93), (27, 63), (27, 65), (27, 38), (27, 122), (27, 39), (27, 67), (27, 96), (27, 73), (27, 68), (27, 97), (27, 36), (27, 115), (27, 42), (27, 99), (27, 83), (27, 100), (27, 102), (27, 72), (27, 101), (27, 35), (27, 46), (27, 74), (27, 56), (27, 26), (27, 104), (27, 76), (27, 98), (27, 49), (27, 121), (27, 245), (27, 50), (27, 24), (27, 107), (27, 79), (27, 108), (27, 52), (27, 80), (27, 113), (27, 53), (27, 94), (27, 25), (27, 110), (27, 23), (27, 111), (27, 29), (27, 66), (27, 112), (27, 28), (27, 71), (27, 57), (27, 85), (27, 90)]",60.334573428300175,0.683862005607962,8.55933876047108,3.42078828382365
28,59.49354003790763,8.567789162434067,60.54843638304433,85.55555555555556,34.03066460017085,1,"[(28, 30), (28, 58), (28, 31), (28, 115), (28, 88), (28, 116), (28, 89), (28, 49), (28, 117), (28, 86), (28, 82), (28, 34), (28, 118), (28, 91), (28, 54), (28, 92), (28, 114), (28, 120), (28, 96), (28, 37), (28, 119), (28, 65), (28, 101), (28, 94), (28, 122), (28, 78), (28, 95), (28, 67), (28, 40), (28, 41), (28, 111), (28, 97), (28, 36), (28, 69), (28, 59), (28, 80), (28, 70), (28, 99), (28, 83), (28, 44), (28, 102), (28, 72), (28, 45), (28, 51), (28, 73), (28, 46), (28, 74), (28, 47), (28, 112), (28, 104), (28, 76), (28, 98), (28, 105), (28, 121), (28, 50), (28, 24), (28, 107), (28, 79), (28, 52), (28, 23), (28, 113), (28, 109), (28, 38), (28, 81), (28, 43), (28, 26), (28, 55), (28, 27), (28, 85), (28, 66), (28, 56), (28, 84), (28, 71), (28, 57), (28, 53), (28, 29), (28, 90)]",60.334573428300175,0.683862005607962,8.55933876047108,3.42078828382365
29,59.70559494572323,12.119437559035381,44.16425324009374,81.11111111111111,35.912516252379305,1,"[(29, 30), (29, 114), (29, 31), (29, 52), (29, 59), (29, 116), (29, 110), (29, 105), (29, 86), (29, 34), (29, 62), (29, 91), (29, 63), (29, 36), (29, 58), (29, 64), (29, 96), (29, 93), (29, 119), (29, 94), (29, 66), (29, 95), (29, 67), (29, 40), (29, 81), (29, 41), (29, 97), (29, 92), (29, 69), (29, 115), (29, 42), (29, 70), (29, 99), (29, 27), (29, 71), (29, 120), (29, 44), (29, 72), (29, 101), (29, 82), (29, 73), (29, 102), (29, 242), (29, 103), (29, 112), (29, 104), (29, 76), (29, 98), (29, 49), (29, 245), (29, 35), (29, 50), (29, 107), (29, 79), (29, 68), (29, 39), (29, 108), (29, 80), (29, 113), (29, 109), (29, 25), (29, 43), (29, 26), (29, 111), (29, 23), (29, 83), (29, 122), (29, 56), (29, 28), (29, 74), (29, 57), (29, 85), (29, 90)]",60.334573428300175,0.683862005607962,8.55933876047108,3.42078828382365
30,60.10074474783179,7.985121314487993,86.33214884565605,95.55555555555556,34.04293303115989,1,"[(30, 39), (30, 58), (30, 59), (30, 61), (30, 62), (30, 63), (30, 64), (30, 96), (30, 65), (30, 66), (30, 11), (30, 68), (30, 69), (30, 41), (30, 70), (30, 71), (30, 73), (30, 74), (30, 76), (30, 98), (30, 77), (30, 78), (30, 79), (30, 80), (30, 25), (30, 43), (30, 82), (30, 83), (30, 28), (30, 85), (30, 86), (30, 87), (30, 81), (30, 100), (30, 89), (30, 90), (30, 91), (30, 36), (30, 37), (30, 101), (30, 94), (30, 95), (30, 40), (30, 97), (30, 42), (30, 99), (30, 44), (30, 45), (30, 46), (30, 47), (30, 104), (30, 84), (30, 49), (30, 50), (30, 51), (30, 108), (30, 109), (30, 110), (30, 111), (30, 29), (30, 122), (30, 112), (30, 57), (30, 114), (30, 67), (30, 105), (30, 117), (30, 118), (30, 119), (30, 120), (30, 121), (30, 234), (30, 106), (30, 33), (30, 52), (30, 24), (30, 53), (30, 34), (30, 26), (30, 54), (30, 55), (30, 92), (30, 56), (30, 113), (30, 38), (30, 23)]",60.334573428300175,0.683862005607962,8.55933876047108,3.42078828382365
31,60.51625957255225,8.073791743986137,22.465052078034997,93.33333333333333,34.295025658269196,1,"[(31, 43), (31, 86), (31, 58), (31, 87), (31, 115), (31, 89), (31, 118), (31, 88), (31, 67), (31, 33), (31, 49), (31, 61), (31, 90), (31, 62), (31, 91), (31, 63), (31, 29), (31, 92), (31, 114), (31, 64), (31, 96), (31, 93), (31, 121), (31, 45), (31, 37), (31, 38), (31, 66), (31, 78), (31, 39), (31, 11), (31, 106), (31, 40), (31, 81), (31, 68), (31, 55), (31, 41), (31, 36), (31, 59), (31, 98), (31, 70), (31, 99), (31, 27), (31, 44), (31, 102), (31, 72), (31, 101), (31, 82), (31, 73), (31, 117), (31, 46), (31, 74), (31, 75), (31, 104), (31, 76), (31, 42), (31, 105), (31, 65), (31, 77), (31, 35), (31, 50), (31, 54), (31, 51), (31, 79), (31, 108), (31, 52), (31, 122), (31, 80), (31, 113), (31, 53), (31, 25), (31, 56), (31, 110), (31, 26), (31, 111), (31, 23), (31, 83), (31, 234), (31, 112), (31, 28), (31, 71), (31, 57), (31, 109), (31, 85), (31, 34)]",60.334573428300175,0.683862005607962,8.55933876047108,3.42078828382365
32,62.218327501232814,1.637252507885714,76.81881757935669,34.44444444444444,31.927790004559263,1,"[(32, 114), (32, 87), (32, 88), (32, 60), (32, 89), (32, 61), (32, 118), (32, 35), (32, 54), (32, 37), (32, 38), (32, 11), (32, 55), (32, 97), (32, 42), (32, 70), (32, 43), (32, 44), (32, 46), (32, 47), (32, 116), (32, 77), (32, 106), (32, 78), (32, 51), (32, 52), (32, 110), (32, 82), (32, 111), (32, 84), (32, 57)]",60.334573428300175,0.683862005607962,8.55933876047108,3.42078828382365
33,59.62713369318338,8.487627246616848,98.13560567511568,87.77777777777777,34.05738046990012,1,"[(33, 86), (33, 114), (33, 31), (33, 97), (33, 59), (33, 118), (33, 88), (33, 116), (33, 110), (33, 89), (33, 81), (33, 117), (33, 30), (33, 90), (33, 91), (33, 93), (33, 35), (33, 119), (33, 92), (33, 64), (33, 96), (33, 37), (33, 63), (33, 121), (33, 45), (33, 94), (33, 234), (33, 39), (33, 67), (33, 40), (33, 99), (33, 68), (33, 55), (33, 41), (33, 69), (33, 115), (33, 62), (33, 42), (33, 24), (33, 43), (33, 83), (33, 120), (33, 100), (33, 72), (33, 101), (33, 82), (33, 73), (33, 46), (33, 74), (33, 47), (33, 75), (33, 104), (33, 105), (33, 65), (33, 106), (33, 95), (33, 78), (33, 107), (33, 79), (33, 52), (33, 108), (33, 122), (33, 80), (33, 113), (33, 109), (33, 38), (33, 25), (33, 56), (33, 54), (33, 23), (33, 111), (33, 27), (33, 66), (33, 112), (33, 84), (33, 57), (33, 53), (33, 85), (33, 34)]",60.334573428300175,0.683862005607962,8.55933876047108,3.42078828382365
34,59.36062401142396,9.759841629968257,92.57799779622324,87.77777777777777,34.56023282069611,1,"[(34, 25), (34, 30), (34, 114), (34, 31), (34, 115), (34, 62), (34, 88), (34, 116), (34, 89), (34, 117), (34, 86), (34, 90), (34, 91), (34, 35), (34, 63), (34, 92), (34, 58), (34, 64), (34, 93), (34, 119), (34, 121), (34, 101), (34, 94), (34, 122), (34, 78), (34, 39), (34, 43), (34, 67), (34, 96), (34, 68), (34, 111), (34, 97), (34, 36), (34, 69), (34, 98), (34, 33), (34, 70), (34, 99), (34, 83), (34, 44), (34, 72), (34, 45), (34, 107), (34, 73), (34, 46), (34, 74), (34, 41), (34, 47), (34, 56), (34, 26), (34, 104), (34, 24), (34, 76), (34, 42), (34, 105), (34, 50), (34, 95), (34, 54), (34, 118), (34, 51), (34, 108), (34, 52), (34, 75), (34, 80), (34, 113), (34, 53), (34, 38), (34, 81), (34, 110), (34, 82), (34, 55), (34, 23), (34, 27), (34, 85), (34, 112), (34, 28), (34, 57), (34, 109), (34, 29)]",60.334573428300175,0.683862005607962,8.55933876047108,3.42078828382365
35,60.8275413376431,7.166365678882983,54.325676306925416,93.33333333333333,33.99695350826304,1,"[(35, 25), (35, 86), (35, 58), (35, 31), (35, 59), (35, 62), (35, 88), (35, 44), (35, 116), (35, 11), (35, 33), (35, 105), (35, 117), (35, 34), (35, 118), (35, 72), (35, 110), (35, 29), (35, 92), (35, 114), (35, 64), (35, 40), (35, 37), (35, 119), (35, 65), (35, 101), (35, 38), (35, 66), (35, 95), (35, 67), (35, 50), (35, 96), (35, 111), (35, 97), (35, 69), (35, 98), (35, 70), (35, 91), (35, 43), (35, 71), (35, 100), (35, 46), (35, 83), (35, 45), (35, 73), (35, 32), (35, 102), (35, 93), (35, 47), (35, 75), (35, 26), (35, 104), (35, 60), (35, 76), (35, 55), (35, 49), (35, 77), (35, 87), (35, 106), (35, 78), (35, 51), (35, 79), (35, 39), (35, 108), (35, 23), (35, 113), (35, 89), (35, 94), (35, 81), (35, 56), (35, 54), (35, 80), (35, 41), (35, 42), (35, 27), (35, 122), (35, 112), (35, 109), (35, 84), (35, 74), (35, 57), (35, 53), (35, 85), (35, 90)]",60.334573428300175,0.683862005607962,8.55933876047108,3.42078828382365
36,59.87600752436531,8.3514683794744,62.82188925767689,95.55555555555556,34.11373795191986,1,"[(36, 95), (36, 58), (36, 59), (36, 80), (36, 62), (36, 63), (36, 64), (36, 40), (36, 65), (36, 66), (36, 67), (36, 68), (36, 69), (36, 41), (36, 70), (36, 71), (36, 72), (36, 73), (36, 74), (36, 75), (36, 78), (36, 79), (36, 23), (36, 25), (36, 99), (36, 26), (36, 27), (36, 84), (36, 85), (36, 30), (36, 31), (36, 81), (36, 88), (36, 44), (36, 89), (36, 90), (36, 91), (36, 92), (36, 93), (36, 45), (36, 38), (36, 39), (36, 96), (36, 97), (36, 42), (36, 43), (36, 83), (36, 100), (36, 46), (36, 101), (36, 102), (36, 47), (36, 104), (36, 105), (36, 50), (36, 107), (36, 52), (36, 109), (36, 54), (36, 55), (36, 29), (36, 234), (36, 56), (36, 113), (36, 115), (36, 116), (36, 11), (36, 49), (36, 117), (36, 86), (36, 118), (36, 119), (36, 120), (36, 121), (36, 122), (36, 106), (36, 51), (36, 108), (36, 24), (36, 34), (36, 110), (36, 28), (36, 37), (36, 112), (36, 57), (36, 94)]",60.334573428300175,0.683862005607962,8.55933876047108,3.42078828382365
37,60.60125393010594,2.6928739442962035,95.77011508425726,57.77777777777777,31.64706393720107,1,"[(37, 30), (37, 114), (37, 87), (37, 32), (37, 116), (37, 33), (37, 61), (37, 95), (37, 91), (37, 35), (37, 110), (37, 36), (37, 97), (37, 84), (37, 94), (37, 122), (37, 78), (37, 31), (37, 11), (37, 68), (37, 55), (37, 41), (37, 42), (37, 70), (37, 43), (37, 45), (37, 88), (37, 46), (37, 47), (37, 75), (37, 26), (37, 104), (37, 60), (37, 76), (37, 77), (37, 106), (37, 24), (37, 51), (37, 79), (37, 39), (37, 52), (37, 80), (37, 89), (37, 38), (37, 25), (37, 117), (37, 54), (37, 82), (37, 111), (37, 28), (37, 57), (37, 85)]",60.334573428300175,0.683862005607962,8.55933876047108,3.42078828382365
38,59.913038571564044,5.147678171237958,91.87350687717519,80.0,32.530358371401,1,"[(38, 86), (38, 114), (38, 87), (38, 25), (38, 118), (38, 88), (38, 60), (38, 11), (38, 89), (38, 105), (38, 61), (38, 30), (38, 56), (38, 34), (38, 26), (38, 91), (38, 110), (38, 92), (38, 58), (38, 120), (38, 96), (38, 93), (38, 65), (38, 45), (38, 94), (38, 66), (38, 78), (38, 95), (38, 31), (38, 67), (38, 106), (38, 40), (38, 73), (38, 68), (38, 41), (38, 36), (38, 59), (38, 42), (38, 33), (38, 70), (38, 43), (38, 71), (38, 44), (38, 101), (38, 82), (38, 35), (38, 32), (38, 37), (38, 74), (38, 75), (38, 84), (38, 76), (38, 98), (38, 49), (38, 77), (38, 50), (38, 24), (38, 51), (38, 79), (38, 52), (38, 23), (38, 81), (38, 117), (38, 54), (38, 80), (38, 55), (38, 27), (38, 112), (38, 28), (38, 57), (38, 85), (38, 90)]",60.334573428300175,0.683862005607962,8.55933876047108,3.42078828382365
39,60.37089058777738,8.657312279364078,21.99221310224089,92.22222222222223,34.51410143357073,1,"[(39, 86), (39, 58), (39, 31), (39, 59), (39, 118), (39, 88), (39, 100), (39, 116), (39, 110), (39, 89), (39, 105), (39, 117), (39, 30), (39, 34), (39, 62), (39, 35), (39, 119), (39, 112), (39, 36), (39, 64), (39, 93), (39, 63), (39, 121), (39, 45), (39, 37), (39, 94), (39, 122), (39, 95), (39, 67), (39, 106), (39, 40), (39, 81), (39, 68), (39, 55), (39, 41), (39, 92), (39, 69), (39, 115), (39, 98), (39, 33), (39, 70), (39, 99), (39, 83), (39, 120), (39, 44), (39, 102), (39, 72), (39, 101), (39, 107), (39, 73), (39, 46), (39, 74), (39, 54), (39, 47), (39, 75), (39, 26), (39, 104), (39, 91), (39, 76), (39, 42), (39, 49), (39, 65), (39, 50), (39, 24), (39, 51), (39, 79), (39, 52), (39, 80), (39, 113), (39, 53), (39, 25), (39, 43), (39, 82), (39, 111), (39, 27), (39, 66), (39, 56), (39, 84), (39, 71), (39, 57), (39, 109), (39, 29), (39, 90)]",60.334573428300175,0.683862005607962,8.55933876047108,3.42078828382365
40,59.5720031324127,9.405135557007394,25.742647109126548,87.77777777777777,34.48856934471005,1,"[(40, 43), (40, 86), (40, 58), (40, 31), (40, 81), (40, 89), (40, 62), (40, 88), (40, 116), (40, 27), (40, 33), (40, 105), (40, 117), (40, 30), (40, 90), (40, 118), (40, 91), (40, 51), (40, 63), (40, 92), (40, 114), (40, 120), (40, 93), (40, 119), (40, 65), (40, 94), (40, 122), (40, 95), (40, 67), (40, 96), (40, 68), (40, 55), (40, 97), (40, 36), (40, 69), (40, 115), (40, 98), (40, 70), (40, 99), (40, 83), (40, 64), (40, 44), (40, 72), (40, 101), (40, 82), (40, 35), (40, 102), (40, 234), (40, 54), (40, 47), (40, 75), (40, 26), (40, 104), (40, 24), (40, 76), (40, 42), (40, 49), (40, 121), (40, 50), (40, 78), (40, 107), (40, 79), (40, 108), (40, 52), (40, 23), (40, 53), (40, 38), (40, 25), (40, 110), (40, 39), (40, 80), (40, 41), (40, 85), (40, 66), (40, 56), (40, 28), (40, 57), (40, 109), (40, 29)]",60.334573428300175,0.683862005607962,8.55933876047108,3.42078828382365
41,60.7722980471214,8.814758752041481,41.67107025926972,85.55555555555556,34.79352839958144,1,"[(41, 108), (41, 86), (41, 31), (41, 115), (41, 88), (41, 44), (41, 116), (41, 89), (41, 49), (41, 117), (41, 30), (41, 90), (41, 118), (41, 35), (41, 63), (41, 29), (41, 92), (41, 120), (41, 40), (41, 37), (41, 119), (41, 121), (41, 45), (41, 94), (41, 66), (41, 95), (41, 96), (41, 99), (41, 111), (41, 97), (41, 36), (41, 98), (41, 33), (41, 43), (41, 71), (41, 100), (41, 102), (41, 101), (41, 51), (41, 73), (41, 46), (41, 91), (41, 54), (41, 47), (41, 75), (41, 26), (41, 104), (41, 84), (41, 76), (41, 42), (41, 105), (41, 65), (41, 50), (41, 78), (41, 107), (41, 79), (41, 39), (41, 52), (41, 80), (41, 113), (41, 53), (41, 38), (41, 81), (41, 56), (41, 110), (41, 82), (41, 55), (41, 23), (41, 83), (41, 122), (41, 112), (41, 234), (41, 28), (41, 57), (41, 109), (41, 85), (41, 34)]",60.334573428300175,0.683862005607962,8.55933876047108,3.42078828382365
42,60.10896637274856,6.623051133217189,47.789959194873425,91.11111111111111,33.36600875298288,1,"[(42, 72), (42, 30), (42, 114), (42, 87), (42, 59), (42, 32), (42, 44), (42, 60), (42, 89), (42, 49), (42, 61), (42, 86), (42, 34), (42, 118), (42, 93), (42, 91), (42, 110), (42, 36), (42, 120), (42, 40), (42, 37), (42, 119), (42, 45), (42, 94), (42, 234), (42, 39), (42, 31), (42, 11), (42, 50), (42, 96), (42, 81), (42, 68), (42, 55), (42, 97), (42, 92), (42, 69), (42, 98), (42, 33), (42, 24), (42, 43), (42, 71), (42, 64), (42, 100), (42, 102), (42, 83), (42, 101), (42, 82), (42, 35), (42, 88), (42, 46), (42, 74), (42, 41), (42, 47), (42, 75), (42, 104), (42, 76), (42, 105), (42, 77), (42, 106), (42, 95), (42, 78), (42, 51), (42, 79), (42, 108), (42, 52), (42, 80), (42, 109), (42, 38), (42, 25), (42, 117), (42, 54), (42, 26), (42, 111), (42, 23), (42, 27), (42, 66), (42, 56), (42, 84), (42, 113), (42, 122), (42, 29), (42, 90)]",60.334573428300175,0.683862005607962,8.55933876047108,3.42078828382365
43,60.62144300636533,7.566140112328469,51.16122145382598,98.88888888888889,34.0937915593469,1,"[(43, 95), (43, 58), (43, 59), (43, 61), (43, 62), (43, 63), (43, 64), (43, 40), (43, 65), (43, 66), (43, 11), (43, 68), (43, 69), (43, 41), (43, 70), (43, 71), (43, 73), (43, 75), (43, 76), (43, 42), (43, 77), (43, 24), (43, 79), (43, 81), (43, 26), (43, 27), (43, 28), (43, 85), (43, 86), (43, 87), (43, 25), (43, 32), (43, 44), (43, 89), (43, 90), (43, 35), (43, 92), (43, 93), (43, 101), (43, 94), (43, 39), (43, 96), (43, 97), (43, 98), (43, 83), (43, 100), (43, 46), (43, 45), (43, 102), (43, 47), (43, 104), (43, 105), (43, 106), (43, 51), (43, 108), (43, 109), (43, 54), (43, 111), (43, 29), (43, 234), (43, 56), (43, 113), (43, 114), (43, 116), (43, 67), (43, 49), (43, 117), (43, 30), (43, 118), (43, 119), (43, 120), (43, 121), (43, 122), (43, 31), (43, 50), (43, 88), (43, 33), (43, 52), (43, 53), (43, 34), (43, 91), (43, 110), (43, 78), (43, 55), (43, 36), (43, 82), (43, 37), (43, 112), (43, 38)]",60.334573428300175,0.683862005607962,8.55933876047108,3.42078828382365
